title,price_inr
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,6240.325
Myriad (Prentor #1),6198.125
The Rose & the Dagger (The Wrath and the Dawn #2),6186.52
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),6133.77
Watchmen,6124.275
The Raven Boys (The Raven Cycle #1),6091.570000000001
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),6064.139999999999
John Adams,6058.865
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",6039.875
A Shard of Ice (The Black Symphony Saga #1),5974.465
Fun Home: A Family Tragicomic,5970.245000000001
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",5958.639999999999
Masks and Shadows,5950.2
City of Glass (The Mortal Instruments #3),5910.110000000001
Darkfever (Fever #1),5910.110000000001
The False Prince (The Ascendance Trilogy #1),5908.0
Old Records Never Die: One Man's Quest for His Vinyl and His Past,5872.129999999999
Future Shock (Future Shock #1),5871.075
A Brush of Wings (Angels Walking #3),5856.304999999999
Midnight Riot (Peter Grant/ Rivers of London - books #1),5851.03
Don't Get Caught,5839.425
No Love Allowed (Dodge Cove #1),5765.575
The Light of the Fireflies,5742.365
The Alien Club,5739.2
(Un)Qualified: How God Uses Broken People to Do Big Things,5697.0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5686.45
Vampire Girl (Vampire Girl #1),5678.01
The Blind Side: Evolution of a Game,5666.405
Girl Online On Tour (Girl Online #2),5641.085
Lady Renegades (Rebel Belle #3),5595.72
One Second (Seven #7),5585.17
"Chronicles, Vol. 1",5549.3
A Court of Thorns and Roses (A Court of Thorns and Roses #1),5525.035
Seven Days in the Art World,5520.815
The Hidden Oracle (The Trials of Apollo #1),5513.429999999999
The Demonists (Demonist #1),5497.605
"Exit, Pursued by a Bear",5416.370000000001
Tell the Wolves I'm Home,5376.28
#GIRLBOSS,5376.28
Catching Jordan (Hundred Oaks),5362.565
A Hero's Curse (The Unseen Chronicles #1),5326.695000000001
Nightstruck: A Novel,5311.925
Rogue Lawyer (Rogue Lawyer #1),5286.605
If I Run (If I Run #1),5271.835
Close to You,5218.03
Paper and Fire (The Great Library #2),5216.975
The Dovekeepers,5146.29
Harry Potter and the Half-Blood Prince (Harry Potter #6),5143.125
Library of Souls (Miss Peregrine’s Peculiar Children #3),5123.08
Mere Christianity,5117.804999999999
Without Shame,5092.485000000001
Isla and the Happily Ever After (Anna and the French Kiss #3),5077.715
Stars Above (The Lunar Chronicles #4.5),5069.275
The Case for Christ (Cases for Christianity),5047.120000000001
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),5042.9
Crazy Love: Overwhelmed by a Relentless God,5034.46
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",4991.205
The God Delusion,4942.675
A Game of Thrones (A Song of Ice and Fire #1),4897.31
Until Friday Night (The Field Party #1),4885.705
Sarah's Key,4883.595
The Beast (Black Dagger Brotherhood #14),4861.44
The Star-Touched Queen,4855.110000000001
Tell the Wind and Fire,4801.304999999999
The Natural History of Us (The Fine Art of Pretending #2),4770.71
Kill 'Em and Leave: Searching for James Brown and the American Soul,4752.775
The New Guy (and Other Senior Year Distractions),4739.06
A Gathering of Shadows (Shades of Magic #2),4727.455
The Bane Chronicles (The Bane Chronicles #1-11),4719.014999999999
The Glittering Court (The Glittering Court #1),4671.54
Heir to the Sky,4649.385
Eragon (The Inheritance Cycle #1),4628.285
Legend (Legend #1),4609.295
Scarlett Epstein Hates It Here,4594.525
Crown of Midnight (Throne of Glass #2),4567.095
The Joy of Cooking,4564.985000000001
Hollow City (Miss Peregrine’s Peculiar Children #2),4534.389999999999
Evicted: Poverty and Profit in the American City,4459.485000000001
Golden (Heart of Dread #3),4453.155
Tell Me Three Things,4410.955
Where She Went (If I Stay #2),4402.514999999999
The Complete Poems,4359.26
The Art of Not Breathing,4307.565
A People's History of the United States,4303.345
The Art Forger,4300.179999999999
The Immortal Life of Henrietta Lacks,4290.685
My Kind of Crazy,4257.98
Shadows of the Past (Logan Point #1),4185.185
King's Folly (The Kinsman Chronicles #1),4178.855
Searching for Meaning in Gailana,4086.015
This Is Your Brain on Music: The Science of a Human Obsession,4051.2
"Nightingale, Sing",4038.54
Rook,3994.23
More Than Music (Chasing the Dream #1),3967.855
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3957.305
The Song of Achilles,3945.7
How Music Works,3937.26
The Purpose Driven Life: What on Earth Am I Here for?,3923.5449999999996
Good in Bed (Cannie Shapiro #1),3908.7749999999996
Annie on My Mind,3885.5649999999996
My Life Next Door (My Life Next Door ),3839.145
The Silent Twin (Detective Jennifer Knight #3),3824.375
Cosmos,3815.9350000000004
23 Degrees South: A Tropical Tale of Changing Whether...,3775.845
The Drowning Girls,3763.1850000000004
The Darkest Lie,3729.425
Throne of Glass (Throne of Glass #1),3699.885
Rip it Up and Start Again,3694.61
Manuscript Found in Accra,3690.39
The Rest Is Noise: Listening to the Twentieth Century,3668.235
Angels Walking (Angels Walking #1),3608.1000000000004
The Republic,3563.79
Don't Forget Steven,3505.765
Two Boys Kissing,3454.07
Walk the Edge (Thunder Road #2),3413.98
The Star-Touched Queen,3407.6499999999996
Harry Potter and the Order of the Phoenix (Harry Potter #5),3336.9649999999997
Life,3331.6899999999996
The Sense of an Ending,3310.5899999999997
A Storm of Swords (A Song of Ice and Fire #3),3293.71
