title,price_inr,star_rating
An Abundance of Katherines,1055.0,5.0
The Tipping Point: How Little Things Can Make a Big Difference,1057.11,2.0
A Clash of Kings (A Song of Ice and Fire #2),1138.3449999999998,3.0
The Darkest Corners,1195.315,5.0
The Children,1253.3400000000001,3.0
Every Heart a Doorway (Every Heart A Doorway #1),1282.88,5.0
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",1303.98,3.0
New Moon (Twilight #2),1356.73,4.0
Sister Sable (The Mad Queen #1),1406.315,3.0
Princess Between Worlds (Wide-Awake Princess #5),1407.37,5.0
On a Midnight Clear,1484.385,3.0
