title,star_rating,price_inr,category_name
Set Me Free,5.0,1842.0300000000002,Young Adult
Scarlett Epstein Hates It Here,5.0,4594.525,Young Adult
Library of Souls (Miss Peregrine’s Peculiar Children #3),5.0,5123.08,Young Adult
Frostbite (Vampire Academy #2),5.0,3163.9449999999997,Young Adult
The Darkest Lie,5.0,3729.425,Young Adult
The Epidemic (The Program 0.6),5.0,1523.4199999999998,Young Adult
My Life Next Door (My Life Next Door ),5.0,3839.145,Young Adult
Future Shock (Future Shock #1),5.0,5871.075,Young Adult
The Darkest Corners,5.0,1195.315,Young Adult
Kill the Boy Band,5.0,1637.36,Young Adult
